Shrt_Desc,Water_(g),Energ_Kcal,Protein_(g),Lipid_Tot_(g),Ash_(g),Carbohydrt_(g),Fiber_TD_(g),Sugar_Tot_(g),Calcium_(mg),Iron_(mg),Magnesium_(mg),Phosphorus_(mg),Potassium_(mg),Sodium_(mg),Zinc_(mg),Copper_mg),Manganese_(mg),Selenium_(µg),Vit_C_(mg),Thiamin_(mg),Riboflavin_(mg),Niacin_(mg),Panto_Acid_mg),Vit_B6_(mg),Folate_Tot_(µg),Folic_Acid_(µg),Food_Folate_(µg),Folate_DFE_(µg),Choline_Tot_ (mg),Vit_B12_(µg),Vit_A_IU,Vit_A_RAE,Retinol_(µg),Alpha_Carot_(µg),Beta_Carot_(µg),Beta_Crypt_(µg),Lycopene_(µg),Lut+Zea_ (µg),Vit_E_(mg),Vit_D_µg,Vit_D_IU,Vit_K_(µg),FA_Sat_(g),FA_Mono_(g),FA_Poly_(g),Cholestrl_(mg),GmWt_1
"BABYFOOD,FRUIT,APPLSAUC&APRICOTS,JR",86.9,47,0.2,0.2,0.24,12.4,1.8,8.72,6,0.26,4,10,109,0,0.03,0.044,,0.3,17.9,0.014,0.03,0.145,0.125,0.03,1,0,1,1,3.1,0,33,2,0,0,15,11,0,15,0.04,0,0,0.5,0.028,0.03,0.051,0,16
"BABYFOOD,FRUIT,APPLSAUC&CHERRIES,STR",85.63,51,0,0,0.25,14.1,1.1,10.81,1,0.3,4,8,132,1,0.03,0.045,,0.3,42.8,0.01,0.03,0.14,0.131,0.037,0,0,0,0,4.6,0,45,2,0,0,25,4,0,56,0.12,0,0,2,0,0,0,0,28.35
"BABYFOOD,FRUIT,APPLSAUC & CHERRIES,JR",85.6,51,0,0,0.3,14.1,1.1,10.61,1,0.3,4,8,132,1,0.03,0.046,,0.3,42.8,0.01,0.03,0.14,0.13,0.039,0,0,0,0,4.6,0,45,2,0,0,24,6,0,47,0.06,0,0,1.2,0,0,0,0,28.35
"BABYFOOD,FRUIT,APPLSAUC W/BANANA,JR",83.14,66,0.37,0.1,0.26,16.16,1.6,4.35,5,0.24,9,12,131,3,0.05,0.04,0.1,0.4,17.3,0.01,0.031,0.163,0.135,0.1,3,0,3,3,4.9,0,6,0,0,0,3,2,0,8,0.02,0,0,0.3,0.04,0.01,0.05,0,16
"BABYFOOD,FRUIT,APPLSAUC&PNAPPL,STR",89.5,37,0.1,0.1,0.2,10.1,1.5,,4,0.1,3,6,78,2,0.02,0.035,,0.3,28.1,0.021,0.026,0.078,0.101,0.039,2,0,2,2,,0,0,0,0,,,,,,0.6,,,,0.01,0.009,0.032,0,28.35
"BABYFOOD,FRUIT,APPLSAUC&PNAPPL,JR",89.1,39,0.1,0.1,0.2,10.5,1.5,,4,0.1,4,6,76,2,0.03,0.036,,0.3,26.8,0.022,0.027,0.079,0.104,0.039,2,0,2,2,,0,21,1,0,,,,,,0.6,,,,0.011,0.009,0.032,0,28.35
"BABYFOOD,FRUIT,APPL & RASPBERRY,STR",83.8,58,0.2,0.2,0.2,15.6,2.1,12.96,5,0.22,4,8,80,0,0.03,0.054,,0.3,26.8,0.014,0.028,0.106,0.09,0.034,1,0,1,1,3.5,0,22,1,0,0,10,7,0,21,0.21,0,0,0.8,0.033,0.008,0.062,0,28.35
"BABYFOOD,FRUIT,APPL & RASPBERRY,JR",84,58,0.2,0.2,0.2,15.4,2.1,12.96,5,0.22,4,8,72,0,0.03,0.053,,0.3,28.9,0.012,0.029,0.104,0.088,0.034,1,0,1,1,3.5,0,34,2,0,1,15,9,0,21,0.07,0,0,0.8,0.032,0.008,0.063,0,28.35
"BABYFOOD,FRUIT & VEG,APPL & SWT POTATO",84,64,0.3,0.22,0.3,15.3,1.4,11.6,8,0.2,6,17,149,3,0.1,0.09,0.06,0.3,6.4,0.01,0.02,0.1,0.103,0.05,2,0,2,2,4.4,0,2050,103,0,0,1225,9,0,13,0.16,0,0,0.8,0.041,0.008,0.079,0,113
"BABYFOOD,FRUIT,BANANAS&PNAPPL W/TAPIOCA,JR",81.1,68,0.2,0.1,0.2,18.4,1.6,8.41,7,0.13,6,5,78,0,0.03,0.04,,0.6,21.2,0.015,0.019,0.182,0.148,0.092,6,0,6,6,6.9,0,40,2,0,1,23,0,0,2,0.02,0,0,0.6,0.036,0.009,0.02,0,15
"BABYFOOD,FRUIT,BANANAS&PNAPPL W/TAPIOCA,STR",81.7,65,0.2,0,0.53,17.8,1.6,10.73,7,0.23,6,5,68,0,0.04,0.039,,0.6,19.2,0.019,0.019,0.168,0.143,0.082,18,0,18,18,6.9,0,60,3,0,12,30,0,0,11,0.06,0,0,0.6,0,0,0,0,15
"BABYFOOD,FRUIT,PEARS&PNAPPL,STR",88.5,41,0.3,0.1,0.3,10.9,2.6,7.79,10,0.25,7,9,116,0,0.07,0.14,,0.4,27.5,0.021,0.028,0.207,0.089,0.016,3,0,3,3,3.2,0,29,1,0,0,17,1,0,15,0.04,0,0,1.6,0.007,0.016,0.029,0,16
"BABYFOOD,FRUIT,PEARS&PNAPPL,JR",87.8,44,0.3,0.2,0.3,11.4,2.6,7.36,10,0.21,7,10,118,0,0.13,0.105,,0.4,16.8,0.024,0.023,0.183,0.095,0.013,3,0,3,3,3.2,0,32,2,0,0,18,2,0,32,0.08,0,0,3,0.013,0.031,0.058,0,16
"BABYFOOD,FRUIT,GUAVA&PAPAYA W/TAPIOCA,STR",82.5,63,0.2,0.1,0.2,17,,,7,0.2,5,6,74,4,0.06,,,0.4,80.9,0.01,0.022,0.263,,0.014,2,0,2,2,,0,184,9,0,,,,,,,,,,,,,,28.35
"BABYFOOD,PEACHES,DICES,TODD",87.4,51,0.5,0.2,0.2,11.8,0.8,9.49,6,0.2,8,17,83,9,0.12,0.03,0.05,0.4,31.3,0.01,0.02,0.47,0.17,0.04,5,0,5,5,8.5,0,138,7,0,0,69,28,0,103,0.83,0,0,2.9,0.016,0.046,0.078,0,28.35
"BABYFOOD,FRUIT,PAPAYA&APPLSAUC W/TAPIOCA,STR",80.6,70,0.2,0.1,0.2,18.9,1.4,,7,0.44,5,5,79,5,0.03,0.044,,0.4,113.1,0.01,0.028,0.108,0.28,0.023,2,0,2,2,,0,76,4,0,,,,,,,,,,,,,,28.35
"BABYFOOD,FRUIT,BANANAS W/APPLS&PEARS,STR",79,83,0.9,0.22,0.57,19.31,1.4,12.76,5,0.3,25,19,233,2,0.1,0.08,0.082,0.6,13.9,0.01,0.03,0.55,0.145,0.29,5,0,5,5,7.1,0,56,3,0,15,23,6,0,10,0.08,0,0,0.6,0.106,0.028,0.085,0,15
"BABYFOOD,FRUIT,APPL&BLUEBERRY,STR",83.1,61,0.2,0.2,0.2,16.3,1.8,13.93,4,0.2,3,8,69,1,0.03,0.056,,0.4,27.8,0.017,0.034,0.12,0.163,0.037,4,0,4,4,3.2,0,20,1,0,0,10,5,0,24,0.12,0,0,3.5,0.024,0.019,0.073,0,28.35
"BABYFOOD,FRUIT,APPL&BLUEBERRY,JR",82.8,62,0.2,0.2,0.19,16.6,1.8,8.83,5,0.4,3,7,65,1,0.04,0.057,,0.4,13.9,0.018,0.043,0.103,0.164,0.042,3,0,3,3,3.2,0,41,2,0,0,22,6,0,43,0.27,0,0,8.8,0.024,0.019,0.073,0,28.35
"BABYFOOD,JUICE,APPLE",88,47,0,0.1,0.2,11.7,0.1,10.7,4,0.57,3,5,91,8,0.03,0.04,,0.1,57.9,0.007,0.016,0.083,0.116,0.029,0,0,0,0,1.8,0,18,1,0,0,8,6,0,16,0.6,0,0,0,0.018,0.002,0.031,0,31.7
"BABYFOOD,APPLE-BANANA JUC",87.1,51,0.2,0.1,0.26,12.3,0.2,11,7,0.2,6,8,123,4,0.04,0.02,0.08,0.3,27.9,0.01,0.01,0.14,0.125,0.06,1,0,1,1,2.3,0,9,0,0,3,4,0,0,16,0.02,0,0,0,0.018,0.004,0.034,0,31.2
"BABYFOOD,JUC,APPL&PEACH",89,43,0.2,0.1,0.3,10.5,0.1,9.59,3,0.56,3,4,97,0,0.03,0.037,,0.3,58.5,0.008,0.011,0.213,0.082,0.022,1,0,1,1,2.5,0,63,3,0,0,31,13,0,29,0.15,0,0,0.5,0.018,0.002,0.031,0,31.2
"BABYFOOD,APPLE-CRANBERRY JUC",88.3,46,0,0.02,0.19,11.49,0,6.88,6,0.22,3,7,97,5,0.05,0.01,0.16,0.1,27.9,0,0.02,0.07,,0.03,0,0,0,0,3.4,0,28,1,0,0,17,0,0,49,0.56,0,0,2.4,0.007,0.001,0.012,0,31.2
"BABYFOOD,JUC,APPL&PLUM",87.3,49,0.1,0,0.3,12.3,0.1,11.54,5,0.62,3,3,101,0,0.03,0.042,,0.3,58.2,0.02,0.017,0.195,0.123,0.028,0,0,0,0,1.6,0,43,2,0,0,24,5,0,21,0.04,0,0,0.8,0,0,0,0,31.2
"BABYFOOD,JUC,APPL&PRUNE",81.3,72,0.2,0.1,0.3,18.1,0.1,10.58,9,0.95,7,15,148,8,0.05,0.062,,0.3,67.5,0.005,0.002,0.301,0.181,0.035,0,0,0,0,1.8,0,16,1,0,1,8,2,0,22,0.05,0,0,1.3,0.018,0.006,0.031,0,31.2
"BABYFOOD,JUICE,ORANGE",88.5,45,0.6,0.3,0.4,10.2,0.1,8.26,12,0.17,9,11,184,0,0.06,0.046,,0.1,62.5,0.045,0.028,0.239,0.137,0.054,26,0,26,26,6.2,0,55,3,0,2,9,47,0,113,0.04,0,0,0.1,0.035,0.05,0.06,0,31.2
"BABYFOOD,JUC,ORANGE&APPL",88.9,43,0.4,0.2,0.4,10.1,,,10,0.2,5,7,138,3,0.03,0.04,,0.1,76.9,0.038,0.028,0.185,0.12,0.038,12,0,12,12,,0,73,4,0,,,,,,,,,,,,,,31.2
"BABYFOOD,JUC,ORANGE&APPL&BANANA",87.6,47,0.4,0.1,0.4,11.5,0.1,10.03,5,0.35,6,8,134,0,0.03,0.044,,0.1,32.1,0.043,0.027,0.263,0.134,0.062,10,0,10,10,4.1,0,27,1,0,1,5,22,0,59,0.02,0,0,0.1,0.016,0.007,0.027,0,31.2
"BABYFOOD,JUC,ORANGE&APRICOT",87.8,46,0.8,0.1,0.4,10.9,0.1,,6,0.38,7,12,199,6,0.04,0.084,,0.1,85.9,0.058,0.028,0.267,0.096,0.056,20,0,20,20,,0,216,11,0,,,,,,0.6,,,,0.011,0.022,0.02,0,31.2
"BABYFOOD,JUC,ORANGE&BANANA",86.9,50,0.7,0.1,0.4,11.9,,,17,0.11,14,13,200,3,0.09,0.042,,0.1,34,0.051,0.042,0.18,0.148,0.054,24,0,24,24,,0,46,2,0,,,,,,,,,,,,,,31.2
"BABYFOOD,JUC,ORANGE&PNAPPL",87.3,48,0.5,0.1,0.4,11.7,0.1,,8,0.42,9,9,141,2,0.04,0.044,,0.1,53.4,0.05,0.023,0.194,0.059,0.062,19,0,19,19,,0,31,2,0,,,,,,0.6,,,,0.01,0.014,0.024,0,31.2
"BABYFOOD,JUC,PRUNE&ORANGE",81.9,70,0.6,0.3,0.4,16.8,,,12,0.87,8,10,181,2,0.04,0.046,,0.1,63.8,0.044,0.12,0.396,0.137,0.061,13,0,13,13,,0,131,7,0,,,,,,,,,,,,,,31.2
"BABYFOOD,JUC,MXD FRUIT",87.9,47,0.1,0.1,0.2,11.7,0.1,8.46,8,0.34,5,5,101,8,0.03,0.04,,0.5,63.6,0.023,0.014,0.123,0.115,0.043,7,0,7,7,3.5,0,42,2,0,11,19,1,0,21,0.04,0,0,0.9,0.015,0.006,0.039,0,31.2
"BABYFOOD,CRL,BARLEY,DRY FORT",6.8,376,13.2,6.6,4,69.4,6.6,13.2,643,48.21,115,333,467,33,3.13,0.467,,30.2,0,0.892,1.07,14.28,4.92,0.714,179,156,23,287,45.4,3.57,0,0,0,0,0,0,0,170,5,7.1,286,2.3,0.894,1.45,3.859,0,2.4
"BABYFOOD,CRL,WHL WHEAT,W/ APPLS,DRY FORT",1.7,402,6.6,4.8,3.7,83.2,6.7,26.66,600,45,140,200,500,66,2.6,0.62,2.52,64.7,58.3,0.33,1,13.33,0.953,0.66,166,142,24,265,42.1,3.33,0,0,0,0,0,0,0,203,50,0,0,8.3,0.639,1.277,1.866,0,15
"BABYFOOD,CRL,MXD,DRY FORT",6.7,399,6.66,6.66,1.77,78.21,6.7,26.66,800,30,100,333,467,33,10.66,0.334,,25.9,58.3,1.166,1.333,15,1.074,1.166,167,132,35,259,23.2,5,0,0,0,0,0,0,0,148,4.21,0,0,1.5,0.769,1.206,1.697,0,2.5
"BABYFOOD,CRL,MXD,W/ BANANAS,DRY",4.5,391,10.7,4.6,3.1,77.1,7.8,6.68,696,47.5,90,367,668,0,1.4,0.256,,20,3.6,3.78,3.56,20.56,,0.408,17,0,17,17,28.6,0.24,125,6,0,49,51,0,0,96,0.51,0,0,3.5,0.846,1.223,1.734,0,2.5
"BABYFOOD,CRL,MXD,W/ APPLSAUC & BANANAS,STR",80,82,0.71,0.51,0.4,18.38,1,11.1,91,6.81,7,29,111,5,1.01,0.055,,2.6,15.9,0.126,0.156,2.02,0.195,0.101,25,25,0,43,3.5,0.51,0,0,0,0,0,0,0,10,0.03,0,0,0.3,0.09,0.135,0.191,0,28.35
"BABYFOOD,CRL,MXD,W/ APPLSAUC & BANANAS,JR,FORT",79.6,84,0.71,0.51,0.4,18.79,1,11.1,91,6.81,7,29,111,5,1.01,0.055,,2.6,15.9,0.126,0.156,2.02,0.195,0.101,25,25,0,43,3.5,0.51,0,0,0,0,0,0,0,10,0.68,0,0,0.3,0.072,0.108,0.152,0,28.35
"BABYFOOD,CRL,OATMEAL,DRY FORT",4.56,394,10.99,6.36,4.6,73.48,7.3,11.67,1160,64.1,110,506,549,21,12.68,0.419,3.894,23.4,0,1.431,1.586,21.348,1.871,0.853,247,212,35,396,27,4.6,16,0,0,0,0,0,0,185,12.23,12.7,510,1.4,0.841,1.564,1.748,0,3.2
"BABYFOOD,CRL,OATMEAL,W/ BANANAS,DRY",4.7,399,6.67,6.67,3.9,78.07,5.2,26.66,800,45,118,267,600,33,1.9,0.391,,20.5,58.3,0.833,1,13,,0.66,167,132,35,259,28.7,3.33,0,0,0,0,0,0,0,157,5,0,0,3,1.267,1.429,2.186,0,15
"BABYFOOD,CRL,OATMEAL,W/ APPLSAUC & BANANAS,STR",82.2,75,0.89,0.89,0.4,15.62,0.9,8.85,6,7.5,11,41,97,4,7.5,0.073,,3,13.9,0.111,0.133,1.77,0.227,0.089,22,22,0,38,4.1,0,0,0,0,0,0,0,0,90,0.59,0,0,2.2,0.125,0.216,0.253,0,28.35
"BABYFOOD,CRL,OATMEAL,W/ APPLSAUC & BANANAS,JR,FORT",81.8,76,0.89,0.89,0.4,16.03,0.9,8.85,6,7.5,11,41,97,4,7.5,0.075,,3,13.9,0.111,0.133,1.77,0.227,0.089,22,22,0,38,4.1,0.44,0,0,0,0,0,0,0,17,0.59,0,0,0.6,0.126,0.216,0.253,0,28.35
"BABYFOOD,CRL,OATMEAL,W/HONEY,DRY",5.8,391,13.5,7,4.4,69.3,,,1154,67.23,146,733,259,47,3.7,0.529,,36.4,0,2.771,2.842,36.292,1.54,0.154,35,0,35,35,,0,23,1,0,,,,,,,,,,,,,,2.4
"BABYFOOD,CRL,RICE,DRY,FORT",5.13,390,6.65,2.19,2.89,83.14,1.3,4.85,860,53.01,37,273,281,32,10.92,0.231,1.402,5,2.4,1.195,1.459,23.006,1.601,0.885,230,206,24,375,20.9,4.6,0,0,0,0,0,0,0,0,5,8.5,341,0.5,0.234,0.42,0.784,0,2.5
"BABYFOOD,CRL,RICE,W/ APPLSAUC & BANANAS,STR",81,80,1.2,0.4,0.3,17.1,1,2.24,17,6.73,3,12,28,4,0.08,0.051,,2.1,31.6,0.26,0.422,4.017,,0.234,3,0,3,3,1.9,0,21,1,0,0,9,7,0,4,0.04,0,0,0.2,0.114,0.104,0.102,0,16
"BABYFOOD,CRL,W/EGG YOLKS,STR",88.8,51,1.9,1.8,0.5,7,0.9,,24,0.47,3,40,39,33,0.29,0.022,,,0.7,0.009,0.044,0.049,0.878,0.021,3,0,3,3,,0.07,141,40,39,,,,,,,,,,0.61,0.79,0.3,63,28.35
"BABYFOOD,CRL,W/EGG YOLKS,JR",88.7,52,1.9,1.8,0.4,7.1,0.9,,24,0.51,3,40,35,33,0.29,0.022,,,0.7,0.008,0.045,0.048,0.878,0.02,3,0,3,3,,0.06,144,41,40,,,,,,,,,,0.61,0.79,0.3,63,28.35
"BABYFOOD,CRL,W/EGGS,STR",87.2,58,2.2,1.5,0.6,8,,,27,0.54,3,46,44,38,0.33,0.025,,,0.8,0.01,0.05,0.056,1.003,0.024,9,0,9,9,,0.08,161,,,,,,,,,,,,0.49,0.61,0.33,51,28.35
"BABYFOOD,CRL,EGG YOLKS&BACON,JR",85.9,79,2.5,5,0.4,6.2,0.9,,28,0.47,5,50,35,48,0.27,0.02,,,0.9,0.05,0.077,0.266,1.105,0.026,4,0,4,4,,0.09,94,28,28,,,,,,,,,,1.64,2.207,0.641,94,28.35
"BABYFOOD,OATMEAL CRL W/ FRUIT,DRY,INST,TODD FORT",5.4,402,10.5,7.05,2.95,74.1,7.8,11.09,286,14.3,107,429,346,0,5.7,0.34,2.8,20.5,2.7,0.75,0.86,9.6,,0.38,234,199,35,374,31.6,0,89,4,0,12,41,13,0,32,2.48,0,0,7.5,1.572,3.008,2.29,0,5.3
"BABYFOOD,COOKIE,BABY,FRUIT",5.7,435,6.8,12.6,1.2,73.7,3.4,24.2,83,2.9,30,189,425,9,0.8,0.04,0.22,20.5,1.5,0.44,0.42,3.6,0.389,0.21,110,82,28,167,12,0.22,2348,117,0,810,1002,2,0,175,1.48,0,0,3.2,2.7,4.865,4.334,4,8
"BABYFOOD,CRACKERS,VEG",2,477,8.4,19.6,3.15,66.85,4,13,41,4.2,37,198,245,571,0.9,0.13,0.77,13.7,50.5,0.35,0.33,4.05,0.466,0.12,86,70,16,135,10.4,0,3571,179,0,739,1760,27,0,65,8.05,0,0,7.1,1.966,15.779,1.022,0,0.7
"BABYFOOD,CRL,HI PROT,W/APPL&ORANGE,DRY",5.3,374,25.4,6.5,5.2,57.6,7.1,,751,47.5,159,539,1330,104,2.7,0.964,,28.3,3.1,3.79,4.33,23.83,,0.351,190,0,190,190,,0.3,54,3,0,,,,,,,,,,0.96,1.231,3.429,0,2.4
"BABYFOOD,CRL,RICE,W/ BANANAS,DRY",4.7,404,8.7,4.2,2.5,79.9,1,16.7,691,47.5,141,410,769,0,1.5,0.254,,11.6,2,3.97,3.8,23.32,,0.686,12,0,12,12,25.8,0,29,1,0,11,12,0,0,39,0.37,0,0,3.8,0.978,0.986,1.503,0,2.5
"BABYFOOD,COOKIES",5.9,433,11.8,13.2,2,67.1,0.2,24.2,101,4.18,49,179,501,300,1.1,0.074,0.348,17.2,7,1.459,3.229,15.966,0.529,5.899,93,74,19,145,28.3,0.46,23,6,6,0,1,0,0,9,0.46,0,0,1.1,2.352,5.99,2.878,12,28.35
"BABYFOOD,COOKIES,ARROWROOT",5.6,424,7.6,10,1.4,75.4,0.2,,32,3,22,116,156,319,0.53,0.074,,17.2,5.5,0.499,0.429,5.739,0.531,0.04,35,25,10,53,,0.07,0,0,,,,,0,0,3.86,0,0,0.5,1.048,7.922,0.591,0,28.35
"BABYFOOD,PRETZELS",4,397,10.8,2,1,82.2,2.3,3.08,25,3.77,28,110,137,269,0.78,0.145,,7.6,3.8,0.463,0.357,3.56,0.54,0.083,85,65,20,131,0,0,8,0,0,1,4,1,0,72,0.28,0,0,0.3,0.4,0.238,1.054,0,28.35
"BABYFOOD,TEETHING BISCUITS",6.4,392,10.7,4.2,2.3,76.4,1.4,12.65,263,3.55,35,164,323,285,0.93,0.142,,23.5,9.1,0.233,0.537,4.33,0.526,0.111,49,29,20,69,33.8,0.07,116,28,27,6,13,0,0,169,1.1,0.5,21,0.5,1.206,1.702,0.998,7,28.35
"BABYFOOD,DSSRT,DUTCH APPL,STR",79.5,75,0.2,0.4,0.16,19.74,1.4,17.89,5,0.2,2,3,33,0,0.01,0.059,,0.2,21.4,0.011,0.013,0.048,,0.011,1,0,1,1,2.5,0,49,2,0,0,21,16,0,15,0.04,0,0,0.5,0.19,0.08,0.01,0,28.35
"BABYFOOD,DSSRT,DUTCH APPL,JR",80.32,79,0.2,0.16,0.14,19.18,1.4,17.89,3,0.11,4,7,67,3,0.03,0.03,0.02,0.2,18,0.01,0.012,0.048,0.017,0.017,0,0,0,0,2.5,0,18,1,0,0,8,6,0,11,0.04,0,0,0.5,0.025,0.006,0.045,0,28.35
"BABYFOOD,CHERRY COBBLER,JR",79.8,78,0.3,0.1,0.19,19.2,0.2,10.39,5,0.1,2,6,45,0,0.05,0.01,0.02,0.9,9.3,0.01,0.01,0.06,0.043,0.02,2,0,2,2,1.5,0,31,2,0,0,19,0,0,20,0.03,0,0,0.5,0.02,0.02,0.03,0,28.35
"BABYFOOD,DSSRT,CHERRY VANILLA PUDD,STR",81.5,68,0.2,0.3,0.2,17.8,0.3,9.15,5,0.19,2,7,34,0,0.04,0.05,,0.6,1.1,0.008,0.011,0.038,,0.011,0,0,0,0,4.7,0.01,261,18,6,0,145,0,0,9,0.01,0,1,0.2,0.087,0.105,0.053,10,28.35
"BABYFOOD,DSSRT,CHERRY VANILLA PUDD,JR",81,69,0.2,0.2,0.2,18.4,0.3,16.98,5,0.17,2,7,33,0,0.03,0.051,,0.6,1.1,0.007,0.011,0.038,,0.012,0,0,0,0,4.7,0.01,261,18,6,0,145,0,0,9,0.01,0,1,0.2,0.058,0.07,0.036,10,28.35
"BABYFOOD,DSSRT,FRUIT PUDD,ORANGE,STR",79.8,80,1.1,0.9,0.6,17.7,0.6,,32,0.1,5,28,86,20,0.17,0.05,,0.6,9.1,0.04,0.057,0.119,0.251,0.027,8,0,8,8,,0.01,115,6,0,,,,,,,,,,0.545,0.257,0.038,3,28.35
"BABYFOOD,DSSRT,PEACH COBBLER,STR",81.8,65,0.3,0,0.24,17.8,0.7,10.62,4,0.1,2,5,54,7,0.3,0.19,,1,20.5,0.009,0.014,0.259,,0.007,2,0,2,2,1.1,0,138,7,0,0,69,28,0,39,0.31,0,0,1.1,0,0,0,0,15
"BABYFOOD,DSSRT,PEACH COBBLER,JR",81.2,67,0.3,0,0.24,18.3,0.7,11.89,4,0.1,2,6,56,0,0.03,0.196,,1,20.5,0.01,0.015,0.259,,0.007,3,1,2,4,1.1,0,138,7,0,0,68,28,0,39,0.31,0,0,1.1,0,0,0,0,15
"BABYFOOD,DSSRT,PEACH MELBA,STR",82.9,60,0.2,0,0.3,16.5,,,10,0.33,2,5,83,9,0.28,0.178,,,31.4,0.006,0.036,0.343,,0.006,2,,2,,,0,184,56,,,,,,,,,,,,,,,28.35
"BABYFOOD,DSSRT,PEACH MELBA,JR",83,60,0.3,0,0.4,16.4,,,11,0.3,2,5,93,9,0.28,0.177,,,26,0.007,0.03,0.272,,0.006,2,,2,,,0,196,26,,,,,,,,,,,,,,,28.35
"BABYFOOD,DSSRT,FRUIT PUDD,PNAPPL,STR",77.6,81,1.3,0.3,0.5,20.3,0.7,10.28,31,0.18,9,31,81,0,0.2,0.023,,1.2,27.2,0.038,0.046,0.107,0.192,0.04,5,0,5,5,5.4,0.06,37,11,11,0,0,0,0,0,0,0,0,0,0.099,0.109,0.041,0,15
"BABYFOOD,DSSRT,FRUIT DSSRT,WO/VIT C,STR",83.4,59,0.3,0,0.3,16,0.6,12.6,9,0.22,5,7,94,0,0.04,0.03,,0.4,2.5,0.016,0.009,0.143,0.104,0.037,3,0,3,3,4.5,0,132,7,0,2,64,27,0,43,0.29,0,0,1.5,0,0,0,0,15
"BABYFOOD,DSSRT,FRUIT DSSRT,WO/VIT C,JR",82.2,63,0.3,0,0.3,17.2,0.6,12,9,0.21,5,8,95,0,0.05,0.03,,0.4,3,0.021,0.012,0.144,0.1,0.033,4,0,4,4,4.5,0,132,7,0,2,64,27,0,43,0.29,0,0,1.5,0,0,0,0,15
"BABYFOOD,DSSRT,TROPICAL FRUIT,JR",83.2,60,0.2,0,0.2,16.4,,,10,0.26,5,8,58,7,0.05,0.028,,0.4,18.8,0.011,0.031,0.08,0.094,0.031,3,0,3,3,,0,20,1,0,,,,,,,,,,,,,,28.35
"BABYFOOD,DSSRT,CUSTARD PUDD,VANILLA,STR",79.9,85,1.6,2,0.5,16,0,11.5,55,0.24,5,45,66,0,0.28,0.05,,2.4,0.8,0.012,0.08,0.04,0.25,0.02,6,0,6,6,29.9,0.01,64,18,18,1,2,1,0,39,0.23,0.5,21,0,1.01,0.68,0.16,8,229
"BABYFOOD,DSSRT,CUSTARD PUDD,VANILLA,JR",79.31,86,1.76,0.98,0.37,17.58,0.2,12.2,54,0.22,5,55,68,26,0.3,0.01,0.01,2.4,0.4,0.012,0.054,0.076,0.232,0.03,6,0,6,6,29.9,0.23,47,13,13,1,1,1,0,39,0.09,0.5,19,0,0.325,0.364,0.128,38,229
"BABYFOOD,JUC,APPL&GRAPE",88.1,46,0.1,0.2,0.26,11.34,0.1,10.9,6,0.39,6,5,90,0,0.04,0.078,,0.1,31.5,0.007,0.021,0.109,0.075,0.034,1,0,1,1,1.9,0,4,0,0,0,2,0,0,0,0,0,0,0,0.04,0.009,0.059,0,31.2
"BABYFOOD,JUC,FRUIT PUNCH,W/CA",86.5,52,0.2,0.1,0.52,12.7,0.4,10.6,64,0.3,7,11,86,4,0.04,0.02,0.09,0.1,21.2,0.01,0.02,0.1,0.056,0.05,1,0,1,1,2.2,0,3,0,0,0,2,0,0,21,0.01,0,0,0.1,0.02,0.004,0.029,0,31.2
"BABYFOOD,JUC,APPL&CHERRY",89.5,41,0.1,0.2,0.3,9.9,0.1,8.98,5,0.66,3,6,98,0,0.03,0.043,,0.1,58.3,0.008,0.015,0.094,0.102,0.031,0,0,0,0,2.4,0,5,0,0,0,3,0,0,26,0.02,0,0,0.4,0.035,0.011,0.06,0,31.2
"BABYFOOD,JUC,APPL,W/CA",88.3,46,0.06,0.1,0.48,11.1,0.4,9,127,0.2,6,8,92,3,0.03,0.01,0.29,0.1,21.2,0.02,0.02,0.08,0.06,0.03,0,0,0,0,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018,0.005,0.032,0,189
"BABYFOOD,DINNER,VEG&CHICK,JR",87.76,53,2.04,1.12,0.42,8.66,1.1,1.46,27,0.33,8,32,83,34,0.3,0.02,0.11,2.1,0.2,0.025,0.046,0.628,0.127,0.046,3,0,3,3,9.4,0.02,2612,131,0,592,1270,0,0,36,0.16,0,2,2.1,0.302,0.402,0.269,7,256
"BABYFOOD,DINNER,MXD VEG,STR",88.7,41,1.2,0.1,0.5,9.5,,,22,0.33,11,24,121,38,0.16,0.044,,0.7,2.8,0.015,0.031,0.502,0.277,0.075,8,0,8,8,,0,2728,136,0,,,,,,,,,,,,,,28.35
"BABYFOOD,DINNER,MXD VEG,JR",90.6,34,1.01,0.11,0.4,7.88,1,3.08,17,0.31,13,30,112,40,0.24,0.036,0.144,0.3,3.3,0.014,0.042,0.566,0.348,0.114,11,0,11,11,7.9,0,9246,462,0,1117,4989,0,0,178,0.3,0,0,5.7,0,0,0,0,99
"BABYFOOD,FRUIT,BANANAS W/TAPIOCA,JR",81.5,67,0.4,0.2,0.2,17.8,1.6,7.1,8,0.3,12,9,108,0,0.07,0.046,,0.6,25.7,0.015,0.02,0.218,0.173,0.139,6,0,6,6,3.1,0,44,2,0,17,18,0,0,6,0.6,0,0,0.2,0.076,0.018,0.037,0,15
