Shrt_Desc,Water_(g),Energ_Kcal,Protein_(g),Lipid_Tot_(g),Ash_(g),Carbohydrt_(g),Fiber_TD_(g),Sugar_Tot_(g),Calcium_(mg),Iron_(mg),Magnesium_(mg),Phosphorus_(mg),Potassium_(mg),Sodium_(mg),Zinc_(mg),Copper_mg),Manganese_(mg),Selenium_(µg),Vit_C_(mg),Thiamin_(mg),Riboflavin_(mg),Niacin_(mg),Panto_Acid_mg),Vit_B6_(mg),Folate_Tot_(µg),Folic_Acid_(µg),Food_Folate_(µg),Folate_DFE_(µg),Choline_Tot_ (mg),Vit_B12_(µg),Vit_A_IU,Vit_A_RAE,Retinol_(µg),Alpha_Carot_(µg),Beta_Carot_(µg),Beta_Crypt_(µg),Lycopene_(µg),Lut+Zea_ (µg),Vit_E_(mg),Vit_D_µg,Vit_D_IU,Vit_K_(µg),FA_Sat_(g),FA_Mono_(g),FA_Poly_(g),Cholestrl_(mg),GmWt_1
"BABYFOOD,JUICE,PEAR",87.9,47,0,0,0.24,11.86,0.1,7.28,12,0,8,12,130,8,0.08,0.065,,0.4,33.8,0.01,0.03,0.3,,0.01,4,0,4,4,2.6,0,0,0,0,0,0,0,0,0,0.09,0,0,3.4,0,0,0,0,31.2
"BABYFOOD,MEAT,BF W/ VEG,TODD",85.23,68,3.5,2.1,0.46,8.72,1.8,1.18,11,0.5,11,37,168,26,0.87,0.08,,2.2,2.5,0.02,0.04,0.71,,0.07,6,0,6,6,15.1,0.51,1140,57,0,231,569,0,1706,171,0.37,0,0,3.2,0.847,0.92,0.108,12,179
"BABYFOOD,DINNER,MACARONI,BF&TOMATO SAU,TODD",81.81,81,4.34,1.9,0.43,11.53,1.1,0.37,12,0.8,15,49,148,35,0.48,0.02,,1.8,1.9,0.06,0.06,1.34,,0.09,10,6,4,14,14.1,0.23,60,3,0,0,36,0,333,11,0.09,0,1,0.4,0.705,0.782,0.14,7,16
"BABYFOOD,MXD FRUIT YOGURT,STR",81.8,75,0.8,0.8,0.37,16.23,0.4,11.74,28,0.2,4,22,62,16,0.11,0.02,,0.8,11.7,0.02,0.05,0.14,,0.04,2,0,2,2,4.5,0,67,5,2,1,28,14,0,19,0.13,0,0,0.5,0.517,0.219,0.022,0,15
"BABYFOOD,RICE&APPLS,DRY",3.2,396,6.7,2.4,0.81,86.89,3,3.22,850,37,15,423,410,16,1.4,0.373,,11.6,0,1.3,1.5,20,,0.09,19,0,19,19,10.1,0,8,0,0,0,4,3,0,8,0.22,0,0,1.5,0.503,0.615,0.92,0,2.5
"BABYFOOD,JUC,APPL - CHERRY",88.2,47,0.2,0.1,0.36,11.2,0.3,10.5,7,0.35,3,12,110,4,0.03,0.02,,0.1,32.1,0.01,0.02,0.11,,0.03,0,0,0,0,1.9,0,18,1,0,0,11,0,0,21,0.02,0,0,0.2,0.02,0,0.03,0,31.2
"BABYFOOD,DSSRT,PEACH YOGURT",80.87,76,0.9,0.18,0.45,17.6,0.4,11.11,27,0.4,13,27,102,14,0.18,0.04,,0.8,11.7,0.01,0.05,0.4,,0.02,8,0,8,8,3.9,0.43,3,1,1,0,0,0,0,0,0,0,0,0,0.117,0.048,0.005,4,15
"BABYFOOD,DSSRT,BLUEBERRY YOGURT,STR",81.4,77,0.5,0.7,0.35,17.05,0.4,13.62,25,0.2,13,109,62,14,0.14,0.03,,0.8,12.4,0,0.04,0.14,,0.4,8,0,8,8,5.5,0.43,41,3,1,0,23,0,0,64,0.4,0,0,13.3,0.452,0.192,0.019,4,15
"BABYFOOD,DSSRT,BANANA YOGURT,STR",80.7,78,1.1,0.52,0.33,17.35,0.5,12.2,30,0.14,10,28,100,14,0.26,0.02,,0.9,13.9,0.01,0.04,0.19,,0.08,7,0,7,7,4.7,0.13,20,3,3,4,4,0,0,4,0.02,0,0,0.1,0.37,0.12,0.03,1,15
"BABYFOOD,CRL,RICE W/ PEARS & APPL,DRY,INST FORT",2,389,6.6,0.9,2,88.5,2.6,1.35,38,9,37,253,414,2,3.3,0.377,1.298,16.3,250,1.6,1.88,25.24,,0.09,5,0,5,5,6.6,0,0,0,0,0,0,0,0,1,0.13,0,0,0.3,0.185,0.252,0.231,0,15
"BABYFOOD,BANANA NO TAPIOCA,STR",76.7,91,1,0.2,0.76,21.34,1.6,11.36,4,0.3,26,20,290,2,0.05,0.04,,1.1,21.9,0.02,0.06,0.54,,0.26,17,0,17,17,4.1,0,5,0,0,2,2,0,0,20,0.25,0,0,0.5,0.072,0.028,0.041,0,15
"BABYFOOD,BANANA APPL DSSRT,STR",83.1,68,0.3,0.2,0.29,16.3,1,14.66,3,0.1,8,9,71,7,0.05,0.03,,0.6,12.3,0.02,0.02,0.13,,0.06,4,0,4,4,2.1,0,30,2,0,8,12,3,0,10,0.02,0,0,0.1,0.058,0.018,0.047,0,15
"BABYFOOD,FRUIT SUPREME DSSRT",81.6,73,0.5,0.2,0.52,17.18,2,14.87,6,0.17,7,9,129,1,0.08,0.035,,0.4,12.7,0.01,0.04,0.28,,0.07,6,0,6,6,1.8,0,50,3,0,0,25,10,0,149,0.79,0,0,5.1,0.03,0.025,0.068,0,15
"BABYFOOD,GRAPE JUC,NO SUGAR,CND",84.4,62,0,0,0.22,15.38,0,15.3,12,0.3,10,11,90,10,0.05,0.028,0.067,0.1,33.8,0.01,0.02,0.2,,0.06,4,0,4,4,6.5,0,77,4,0,1,46,0,0,83,0,0,0,16.9,0,0,0,0,
